Pair;Direction;Status;Signal_Time;Entry_Time;RSI_5m;RSI_SMA_5m;RSI_Diff_5m;RSI_15m;RSI_SMA_15m;RSI_Diff_15m;Avg_Diff_15m;Signal_Price;Entry_Price;Quality;Confidence;Total_Score;Base_Score;Technical_Score;Volume_Score;Volatility_Score;Bonus_Score;Penalty_Score;Score_Percentage;Volume_Quality;Volume_Ratio;Current_Volume;Avg_Volume;Volatility_Quality;Volatility_Ratio;Current_ATR;Avg_ATR;Primary_Passed_5m;Primary_Failed_5m;Confirmation_Passed_15m;Confirmation_Failed_15m;Skip_Reason;Comment
BTC/USDT;Short;open;2025-07-29 13:35:00;2025-07-29 13:45:00;57,23385783325465;59,73988300904746;-2,506025175792807;53,53778309454767;49,66588217626842;3,871900918279252;6,116304349603446;118924,8;118924,8;Excellent;100.0%;205,0;50,0;125,0;12,0;10,0;8,0;0,0;92,76018099547511;Very High;2,713984924772611;237,274821;87,42672769999999;Optimal;1,068443128342812;243,09399400913858;227,52169728133757;"RSI Cross SMA Down: Prev: RSI=60.74 vs SMA=60.39, Curr: RSI=57.23 vs SMA=59.74; RSI Entry Zone: RSI_SMA=60.39 > 60.0; Position Delay: Delay >= 12 candles";;"RSI-SMA Difference: RSI-SMA=3.87 >= 2.0; RSI Above 50: RSI=53.54 >= 50; SMA Not Increasing: SMA: 49.12 -> 49.67; No SMA Downtrend: SMA changes: ['0.549', '0.392', '-0.124']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;2025-07-29 14:40:00;2025-07-29 14:50:00;40,17215330433493;38,530984268239656;1,6411690360952704;40,181933684122235;49,1987283718228;-9,016794687700568;-9,947552840963295;118268,9;118268,9;Excellent;100.0%;184,0;50,0;125,0;-5,0;10,0;8,0;-4,0;83,2579185520362;Low;1,0020528055282916;114,577752;114,343028;Optimal;1,1455573751679387;278,9631576138846;243,517403546015;"RSI Cross SMA Up: Prev: RSI=31.50 vs SMA=40.00, Curr: RSI=40.17 vs SMA=38.53; RSI Entry Zone: RSI_SMA=40.00 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=9.02 >= 2.0; RSI Below 50: RSI=40.18 <= 50; SMA Not Falling: SMA: 49.32 -> 49.20; No SMA Uptrend: SMA changes: ['-0.126', '0.148', '-0.433']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;2025-07-29 15:10:00;2025-07-29 15:20:00;33,012215926489745;32,58562399632337;0,4265919301663743;31,74235888757967;47,47919282161365;-15,736833934033982;-13,519562526974967;117785,4;117785,4;Excellent;100.0%;196,0;50,0;125,0;3,0;10,0;8,0;0,0;88,68778280542986;Normal;1,1796880927854987;145,788602;123,58232899999999;Optimal;1,1860502988444104;303,6728246772787;256,03705422371416;"RSI Cross SMA Up: Prev: RSI=28.84 vs SMA=32.51, Curr: RSI=33.01 vs SMA=32.59; RSI Entry Zone: RSI_SMA=32.51 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=15.74 >= 2.0; RSI Below 50: RSI=31.74 <= 50; SMA Not Falling: SMA: 48.31 -> 47.48; No SMA Uptrend: SMA changes: ['-0.833', '-0.886', '-0.126']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;2025-07-29 15:45:00;2025-07-29 15:55:00;31,56144080520191;30,47398857656221;1,0874522286397017;26,293845172744;42,386273742833374;-16,092428570089375;-17,157630066382314;117542,5;117542,5;Excellent;100.0%;196,0;50,0;125,0;3,0;10,0;8,0;0,0;88,68778280542986;Normal;1,4658500761407613;199,852625;136,3390624;Optimal;1,127459104029662;308,83844599707754;273,9243001304927;"RSI Cross SMA Up: Prev: RSI=25.78 vs SMA=30.47, Curr: RSI=31.56 vs SMA=30.47; RSI Entry Zone: RSI_SMA=30.47 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=16.09 >= 2.0; RSI Below 50: RSI=26.29 <= 50; SMA Not Falling: SMA: 44.68 -> 42.39; No SMA Uptrend: SMA changes: ['-2.295', '-1.317', '-1.481']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;2025-07-29 16:05:00;2025-07-29 16:15:00;32,49883126609858;29,32204726378415;3,1767840023144274;28,00984239086671;40,04986239359913;-12,040020002732419;-15,255583697758404;117463,7;117463,7;Excellent;100.0%;194,0;50,0;125,0;-5,0;10,0;18,0;-4,0;87,78280542986425;Low;0,8016501830076396;109,336359;136,389115;Optimal;1,0815182924218114;300,37141414014366;277,7312378762739;"RSI Cross SMA Up: Prev: RSI=27.65 vs SMA=29.26, Curr: RSI=32.50 vs SMA=29.32; RSI Entry Zone: RSI_SMA=29.26 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=12.04 >= 2.0; RSI Below 50: RSI=28.01 <= 50; SMA Not Falling: SMA: 42.39 -> 40.05; No SMA Uptrend: SMA changes: ['-2.336', '-2.295', '-1.317']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;2025-07-29 16:40:00;2025-07-29 16:50:00;43,80017556857453;29,393864797317544;14,406310771256987;31,53596749943047;36,27325123115945;-4,737283731728979;-9,419610812601734;117460,4;117460,4;Excellent;100.0%;206,0;50,0;125,0;3,0;10,0;18,0;0,0;93,21266968325791;Normal;1,7992899106674536;265,425956;147,51705905;Optimal;1,0995476785484712;315,63045402900036;287,05481370818654;"RSI Cross SMA Up: Prev: RSI=21.98 vs SMA=28.22, Curr: RSI=43.80 vs SMA=29.39; RSI Entry Zone: RSI_SMA=28.22 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=4.74 >= 2.0; RSI Below 50: RSI=31.54 <= 50; SMA Not Falling: SMA: 37.96 -> 36.27; No SMA Uptrend: SMA changes: ['-1.687', '-2.089', '-2.336']";;;5m cross, 15m confirmed
BTC/USDT;Short;open;2025-07-29 23:40:00;2025-07-29 23:50:00;51,95441109615769;64,10697874608408;-12,15256764992639;51,61134408037334;47,966813985457634;3,6445300949157087;7,12231408385784;117754,6;117754,6;Excellent;100.0%;194,0;50,0;125,0;-5,0;10,0;18,0;-4,0;87,78280542986425;Low;0,456907922874877;29,858588;65,34924544999998;Optimal;0,8373152685271092;264,63479380371183;316,05155638594914;"RSI Cross SMA Down: Prev: RSI=67.81 vs SMA=64.74, Curr: RSI=51.95 vs SMA=64.11; RSI Entry Zone: RSI_SMA=64.74 > 60.0; Position Delay: Delay >= 12 candles";;"RSI-SMA Difference: RSI-SMA=3.64 >= 2.0; RSI Above 50: RSI=51.61 >= 50; SMA Not Increasing: SMA: 46.80 -> 47.97; No SMA Downtrend: SMA changes: ['1.163', '1.068', '0.864']";;;5m cross, 15m confirmed
BTC/USDT;Short;skip;2025-07-30 07:30:00;2025-07-30 07:40:00;55,372528316543026;59,97975444072845;-4,6072261241854235;56,80447642839341;55,07043118704941;1,734045241343999;3,287036230174157;118265,5;118265,5;Excellent;100.0%;157,0;50,0;90,0;-5,0;10,0;16,0;-4,0;78,1094527363184;Low;1,0727973354260845;50,978962;47,51965754999999;Optimal;0,9563100810198242;192,77476272145373;201,5818577546267;"RSI Cross SMA Down: Prev: RSI=63.34 vs SMA=60.04, Curr: RSI=55.37 vs SMA=59.98; RSI Entry Zone: RSI_SMA=60.04 > 60.0; Position Delay: Delay >= 12 candles";;"RSI Above 50: RSI=56.80 >= 50; SMA Not Increasing: SMA: 55.37 -> 55.07; No SMA Downtrend: SMA changes: ['-0.302', '0.155', '-0.167']";RSI-SMA Difference: RSI-SMA=1.73 >= 2.0;RSI-SMA різниця 1.73 < 2.0;5m cross, 15m rejected
BTC/USDT;Long;open;2025-07-30 12:20:00;2025-07-30 12:30:00;47,23175862852897;33,49156304419425;13,740195584334721;42,69984041455579;47,14881718309248;-4,448976768536696;-11,503658380118118;117796,2;117796,2;Excellent;100.0%;211,0;50,0;125,0;8,0;10,0;18,0;0,0;95,47511312217195;High;2,129362654438141;198,653708;93,29256695000001;Optimal;1,241136109532809;259,5680838985289;209,1374845231407;"RSI Cross SMA Up: Prev: RSI=30.49 vs SMA=33.17, Curr: RSI=47.23 vs SMA=33.49; RSI Entry Zone: RSI_SMA=33.17 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=4.45 >= 2.0; RSI Below 50: RSI=42.70 <= 50; SMA Not Falling: SMA: 48.31 -> 47.15; No SMA Uptrend: SMA changes: ['-1.165', '-1.837', '-1.278']";;;5m cross, 15m confirmed
BTC/USDT;Short;open;2025-07-30 15:05:00;2025-07-30 15:15:00;61,37989763251988;61,90410846754612;-0,5242108350262455;58,040361715681726;45,52364384550966;12,516717870172066;16,38691403608177;118357,9;118357,9;Excellent;100.0%;196,0;50,0;125,0;3,0;10,0;8,0;0,0;88,68778280542986;Normal;1,3929420090300917;237,662177;170,61885954999997;Optimal;1,2077986589981013;351,7486799544185;291,23122246732964;"RSI Cross SMA Down: Prev: RSI=69.84 vs SMA=61.08, Curr: RSI=61.38 vs SMA=61.90; RSI Entry Zone: RSI_SMA=61.08 > 60.0; Position Delay: Delay >= 12 candles";;"RSI-SMA Difference: RSI-SMA=12.52 >= 2.0; RSI Above 50: RSI=58.04 >= 50; SMA Not Increasing: SMA: 44.26 -> 45.52; No SMA Downtrend: SMA changes: ['1.265', '1.860', '0.599']";;;5m cross, 15m confirmed
