Pair;Direction;Status;Signal_Time;Entry_Time;RSI_5m;RSI_SMA_5m;RSI_Diff_5m;RSI_15m;RSI_SMA_15m;RSI_Diff_15m;Avg_Diff_15m;Signal_Price;Entry_Price;Quality;Confidence;Total_Score;Base_Score;Technical_Score;Volume_Score;Volatility_Score;Bonus_Score;Penalty_Score;Score_Percentage;Volume_Quality;Volume_Ratio;Current_Volume;Avg_Volume;Volatility_Quality;Volatility_Ratio;Current_ATR;Avg_ATR;Primary_Passed_5m;Primary_Failed_5m;Confirmation_Passed_15m;Confirmation_Failed_15m;Skip_Reason;Comment
BTC/USDT;Short;open;29.07.2025 13:35;29.07.2025 13:45;57,23385783;59,73988301;-2,506025176;53,53778309;49,66588218;3,871900918;6,11630435;118924,8;118924,8;Excellent;100.0%;205;50;125;12;10;8;0;92,760181;Very High;2,713984925;237,274821;87,4267277;Optimal;1,068443128;243,093994;227,5216973;"RSI Cross SMA Down: Prev: RSI=60.74 vs SMA=60.39, Curr: RSI=57.23 vs SMA=59.74; RSI Entry Zone: RSI_SMA=60.39 > 60.0; Position Delay: Delay >= 12 candles";;"RSI-SMA Difference: RSI-SMA=3.87 >= 2.0; RSI Above 50: RSI=53.54 >= 50; SMA Not Increasing: SMA: 49.12 -> 49.67; No SMA Downtrend: SMA changes: ['0.549', '0.392', '-0.124']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;29.07.2025 14:40;29.07.2025 14:50;40,1721533;38,53098427;1,641169036;40,18193368;49,19872837;-9,016794688;-9,947552841;118268,9;118268,9;Excellent;100.0%;184;50;125;-5;10;8;-4;83,25791855;Low;1,002052806;114,577752;114,343028;Optimal;1,145557375;278,9631576;243,5174035;"RSI Cross SMA Up: Prev: RSI=31.50 vs SMA=40.00, Curr: RSI=40.17 vs SMA=38.53; RSI Entry Zone: RSI_SMA=40.00 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=9.02 >= 2.0; RSI Below 50: RSI=40.18 <= 50; SMA Not Falling: SMA: 49.32 -> 49.20; No SMA Uptrend: SMA changes: ['-0.126', '0.148', '-0.433']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;29.07.2025 15:10;29.07.2025 15:20;33,01221593;32,585624;0,42659193;31,74235889;47,47919282;-15,73683393;-13,51956253;117785,4;117785,4;Excellent;100.0%;196;50;125;3;10;8;0;88,68778281;Normal;1,179688093;145,788602;123,582329;Optimal;1,186050299;303,6728247;256,0370542;"RSI Cross SMA Up: Prev: RSI=28.84 vs SMA=32.51, Curr: RSI=33.01 vs SMA=32.59; RSI Entry Zone: RSI_SMA=32.51 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=15.74 >= 2.0; RSI Below 50: RSI=31.74 <= 50; SMA Not Falling: SMA: 48.31 -> 47.48; No SMA Uptrend: SMA changes: ['-0.833', '-0.886', '-0.126']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;29.07.2025 15:45;29.07.2025 15:55;31,56144081;30,47398858;1,087452229;26,29384517;42,38627374;-16,09242857;-17,15763007;117542,5;117542,5;Excellent;100.0%;196;50;125;3;10;8;0;88,68778281;Normal;1,465850076;199,852625;136,3390624;Optimal;1,127459104;308,838446;273,9243001;"RSI Cross SMA Up: Prev: RSI=25.78 vs SMA=30.47, Curr: RSI=31.56 vs SMA=30.47; RSI Entry Zone: RSI_SMA=30.47 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=16.09 >= 2.0; RSI Below 50: RSI=26.29 <= 50; SMA Not Falling: SMA: 44.68 -> 42.39; No SMA Uptrend: SMA changes: ['-2.295', '-1.317', '-1.481']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;29.07.2025 16:05;29.07.2025 16:15;32,49883127;29,32204726;3,176784002;28,00984239;40,04986239;-12,04002;-15,2555837;117463,7;117463,7;Excellent;100.0%;194;50;125;-5;10;18;-4;87,78280543;Low;0,801650183;109,336359;136,389115;Optimal;1,081518292;300,3714141;277,7312379;"RSI Cross SMA Up: Prev: RSI=27.65 vs SMA=29.26, Curr: RSI=32.50 vs SMA=29.32; RSI Entry Zone: RSI_SMA=29.26 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=12.04 >= 2.0; RSI Below 50: RSI=28.01 <= 50; SMA Not Falling: SMA: 42.39 -> 40.05; No SMA Uptrend: SMA changes: ['-2.336', '-2.295', '-1.317']";;;5m cross, 15m confirmed
BTC/USDT;Long;open;29.07.2025 16:40;29.07.2025 16:50;43,80017557;29,3938648;14,40631077;31,5359675;36,27325123;-4,737283732;-9,419610813;117460,4;117460,4;Excellent;100.0%;206;50;125;3;10;18;0;93,21266968;Normal;1,799289911;265,425956;147,5170591;Optimal;1,099547679;315,630454;287,0548137;"RSI Cross SMA Up: Prev: RSI=21.98 vs SMA=28.22, Curr: RSI=43.80 vs SMA=29.39; RSI Entry Zone: RSI_SMA=28.22 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=4.74 >= 2.0; RSI Below 50: RSI=31.54 <= 50; SMA Not Falling: SMA: 37.96 -> 36.27; No SMA Uptrend: SMA changes: ['-1.687', '-2.089', '-2.336']";;;5m cross, 15m confirmed
BTC/USDT;Short;open;29.07.2025 23:40;29.07.2025 23:50;51,9544111;64,10697875;-12,15256765;51,61134408;47,96681399;3,644530095;7,122314084;117754,6;117754,6;Excellent;100.0%;194;50;125;-5;10;18;-4;87,78280543;Low;0,456907923;29,858588;65,34924545;Optimal;0,837315269;264,6347938;316,0515564;"RSI Cross SMA Down: Prev: RSI=67.81 vs SMA=64.74, Curr: RSI=51.95 vs SMA=64.11; RSI Entry Zone: RSI_SMA=64.74 > 60.0; Position Delay: Delay >= 12 candles";;"RSI-SMA Difference: RSI-SMA=3.64 >= 2.0; RSI Above 50: RSI=51.61 >= 50; SMA Not Increasing: SMA: 46.80 -> 47.97; No SMA Downtrend: SMA changes: ['1.163', '1.068', '0.864']";;;5m cross, 15m confirmed
BTC/USDT;Short;skip;30.07.2025 7:30;30.07.2025 7:40;55,37252832;59,97975444;-4,607226124;56,80447643;55,07043119;1,734045241;3,28703623;118265,5;118265,5;Excellent;100.0%;157;50;90;-5;10;16;-4;78,10945274;Low;1,072797335;50,978962;47,51965755;Optimal;0,956310081;192,7747627;201,5818578;"RSI Cross SMA Down: Prev: RSI=63.34 vs SMA=60.04, Curr: RSI=55.37 vs SMA=59.98; RSI Entry Zone: RSI_SMA=60.04 > 60.0; Position Delay: Delay >= 12 candles";;"RSI Above 50: RSI=56.80 >= 50; SMA Not Increasing: SMA: 55.37 -> 55.07; No SMA Downtrend: SMA changes: ['-0.302', '0.155', '-0.167']";RSI-SMA Difference: RSI-SMA=1.73 >= 2.0;RSI-SMA різниця 1.73 < 2.0;5m cross, 15m rejected
BTC/USDT;Long;open;30.07.2025 12:20;30.07.2025 12:30;47,23175863;33,49156304;13,74019558;42,69984041;47,14881718;-4,448976769;-11,50365838;117796,2;117796,2;Excellent;100.0%;211;50;125;8;10;18;0;95,47511312;High;2,129362654;198,653708;93,29256695;Optimal;1,24113611;259,5680839;209,1374845;"RSI Cross SMA Up: Prev: RSI=30.49 vs SMA=33.17, Curr: RSI=47.23 vs SMA=33.49; RSI Entry Zone: RSI_SMA=33.17 < 40.0; Position Delay: Delay >= 12 candles";;"SMA-RSI Difference: SMA-RSI=4.45 >= 2.0; RSI Below 50: RSI=42.70 <= 50; SMA Not Falling: SMA: 48.31 -> 47.15; No SMA Uptrend: SMA changes: ['-1.165', '-1.837', '-1.278']";;;5m cross, 15m confirmed
BTC/USDT;Short;open;30.07.2025 15:05;30.07.2025 15:15;61,37989763;61,90410847;-0,524210835;58,04036172;45,52364385;12,51671787;16,38691404;118357,9;118357,9;Excellent;100.0%;196;50;125;3;10;8;0;88,68778281;Normal;1,392942009;237,662177;170,6188595;Optimal;1,207798659;351,74868;291,2312225;"RSI Cross SMA Down: Prev: RSI=69.84 vs SMA=61.08, Curr: RSI=61.38 vs SMA=61.90; RSI Entry Zone: RSI_SMA=61.08 > 60.0; Position Delay: Delay >= 12 candles";;"RSI-SMA Difference: RSI-SMA=12.52 >= 2.0; RSI Above 50: RSI=58.04 >= 50; SMA Not Increasing: SMA: 44.26 -> 45.52; No SMA Downtrend: SMA changes: ['1.265', '1.860', '0.599']";;;5m cross, 15m confirmed
