rank;config_id;strategy_name;total_trades;win_rate;avg_pnl;total_pnl;profit_factor;max_drawdown;sharpe_ratio;avg_hold_time;filtered_out;best_trade;worst_trade;execution_time;buffer_hours_after;buffer_hours_before;cross_lookback_periods;long_enter_zone_mid_tf;long_exit_zone;long_extreme_exit;max_hold_hours;rsi_extreme_threshold;secondary_timeframes;short_enter_zone_mid_tf;short_exit_zone;short_extreme_exit;sma_change_periods;sma_change_threshold;stop_loss;strategy_name;take_profit;tf_multiplier_15m;tf_multiplier_1h;tf_multiplier_30m;trailing_stop_activation;trailing_stop_distance;use_trailing_stop
1;genetic_balanced_0094;genetic_gen0_94;38;71.05;1.7508;66.53;5.0;3.73;0.544;7.39;2631;10.34;-1.8;1518.941;200;160;10;47;55;80;16;18;['30m'];60;28;15;4;0.2;0.018;genetic_gen0_94;0.025;2;8;8;0.01;0.008;False
2;genetic_balanced_0082;genetic_gen0_82;40;77.5;1.632;65.28;5.51;6.6;0.673;6.81;2438;6.48;-2.2;1802.198;320;80;8;43;70;82;20;18;['15m', '30m'];63;38;25;8;0.4;0.022;genetic_gen0_82;0.025;3;16;4;0.008;0.008;False
3;genetic_balanced_0261;genetic_gen2_cross_61;32;71.88;1.5483;49.55;5.11;9.0;0.641;5.84;2601;5.88;-3.0;1461.524;200;160;6;45;70;88;8;18;['15m'];70;28;18;8;0.2;0.03;genetic_gen2_cross_61;0.06;2;12;8;0.012;0.005;False
4;genetic_balanced_0489;genetic_gen4_cross_89;50;76.0;1.5395;76.98;6.78;9.38;0.721;5.21;2810;5.88;-3.0;1436.367;180;160;15;30;70;78;8;20;['15m'];60;40;18;7;0.5;0.03;genetic_gen4_cross_89;0.05;3;12;4;0.01;0.006;False
5;genetic_balanced_0330;genetic_gen3_cross_30;47;74.47;1.4983;70.42;4.26;4.48;0.61;7.79;2610;6.82;-1.8;1695.798;320;80;12;47;72;88;16;18;['15m', '30m'];55;30;22;5;0.4;0.018;genetic_gen3_cross_30;0.06;2;8;4;0.012;0.005;False
6;genetic_balanced_0136;genetic_gen1_cross_36;41;75.61;1.4638;60.02;4.75;7.5;0.63;8.06;2819;6.68;-2.5;1688.101;180;80;6;43;65;82;30;18;['15m', '1h'];63;28;15;7;0.2;0.025;genetic_gen1_cross_36;0.05;4;12;4;0.01;0.01;False
7;genetic_balanced_0126;genetic_gen1_cross_26;38;68.42;1.4099;53.58;4.22;7.78;0.609;5.65;2822;6.49;-1.5;1632.988;240;140;8;37;72;75;12;18;['15m'];60;30;25;5;0.2;0.015;genetic_gen1_cross_26;0.03;3;12;8;0.015;0.01;False
8;genetic_balanced_0469;genetic_gen4_cross_69;71;61.97;1.4091;100.05;2.72;9.89;0.429;8.55;2604;8.72;-2.2;1395.038;280;160;15;37;68;88;16;12;['30m'];70;28;22;6;0.8;0.022;genetic_gen4_cross_69;0.04;2;8;6;0.015;0.008;False
9;genetic_balanced_0473;genetic_gen4_mut_73;59;77.97;1.3938;82.24;4.33;9.56;0.584;6.25;2801;6.95;-2.5;1833.228;240;80;6;47;72;80;16;20;['15m', '30m'];55;45;20;7;0.5;0.025;genetic_gen4_mut_73;0.05;2;16;8;0.015;0.006;False
10;genetic_balanced_0392;genetic_gen3_cross_92;52;57.69;1.3741;71.45;3.45;9.28;0.425;8.5;2808;12.56;-1.5;1308.695;180;80;10;45;60;88;30;15;['30m'];60;28;12;3;0.5;0.015;genetic_gen3_cross_92;0.025;2;8;8;0.015;0.012;False
